context;reply,,,,
Ile osób na świecie zachorowało na covid-19? ;Około 52 milionów.,,,,
Kiedy będzie dostępna szczepionka?;Prawdopodobnie w 2021 roku.,,,,
Jakie są najczęściej występujące objawy zarażenia covid-19?;Najczęstsze objawy zarażenia: gorączka,suchy kaszel,zmęczenie.,,
Jakie są poważne objawy zarażenia covid-19?;Możesz mieć turdności w oddychaniu,ból w klatce piersiowej,utratę zdolności ruchowych.,,
Co mam zrobić gdy mam objawy zakażenia?;Skontaktuj się z lekarzem.,,,,
A jakieś rzadziej występujące?;Biegunka,ból mięśni,głowy,gardła,utrata węchu smaku. Możesz też mieć wysypkę.
Czy covid-19 da się pokonać?;Tego nie wiedzą nawet najstarsi górale.,,,,
Czy jest możliwość,że wirus zarazi się mną?;Żeby się koronawirus mną nie zaraził,bo go nie pokonamy.,,
Ile wynosi rekord zakażonych w Polsce?;27086 zakażeń w ciągu doby.,,,,
Skąd tyle wiesz?;Całe życie się uczę.,,,,
Czy jest gdzieś dostępne api covid?;Np. tutaj: https://api.covid19api.com/,,,,
Jak mogę zmniejszyć ryzyko zakażenia?;Dbaj o ogolną kondycję organizmuj,o prawidłową higienę.,,,
Czy należy często myć ręce?;Tak,zawsze.,,,
Jak wyglada zrobienie testu na covid?;Wsadzają taką chropowatą próbówkę do gardła przez nos.,,,,
Czy długo się czeka na wynik testu?;Takiej informacji udzielą Ci podczas wykonywania testu.,,,,
Jeśli wynik testu jest pozytywny to co dalej?;To zależy jak się czujesz? Prawdopodobnie czeka się kwarantanna.,,,,
Czy alkohol dobrze dezynfektuje?;Tak ale musi mieć minimum 60%. Dobry samogon wskazany.,,,,
A maseczki chronią nas przed zakażeniem?;Zmniejszają ryzyko.,,,,
Czy maseczki są obowiązkowe?;Tak!,,,,
Czy warto zaszczepić się na grypę?;Zapytaj o to swojego lekarza.,,,,